Perfume,Brand,Gender,Country,Citrus–Green,Amber–Resinous,Musky–Soapy,Marine–Ozonic,Spicy–Aromatic,Woody–Earthy,Floral–Powdery,Fruity–Tropical,Sweet–Gourmand,Smoky–Leathery
accento-overdose-pride-edition,xerjoff,unisex,Italy,0.28,0.0,0.0,0.0,0.06,0.06,0.26,0.34,0.0,0.0
classique-pride-2024,jean-paul-gaultier,women,France,0.4,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0
classique-pride-2023,jean-paul-gaultier,unisex,France,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
pride-edition-man,bruno-banani,men,Germany,0.0,0.38,0.0,0.0,0.19,0.11,0.0,0.21,0.11,0.0
le-male-pride-collector,jean-paul-gaultier,men,France,0.0,0.2,0.0,0.0,0.54,0.0,0.0,0.0,0.26,0.0
le-male-pride-2023,jean-paul-gaultier,men,France,0.4,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0
le-male-pride-2024,jean-paul-gaultier,men,France,0.48,0.0,0.26,0.0,0.0,0.0,0.26,0.0,0.0,0.0
polo-red-pride-edition,ralph-lauren,men,USA,0.08,0.08,0.0,0.0,0.36,0.08,0.0,0.0,0.39,0.0
ralph-pride-edition,ralph-lauren,women,USA,0.47,0.0,0.0,0.0,0.0,0.0,0.4,0.07,0.07,0.0
waffle,we-pink,women,Brazil,0.06,0.0,0.06,0.0,0.0,0.0,0.26,0.06,0.56,0.0
le-male-pride-edition,jean-paul-gaultier,men,France,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
rouge-imperiale,vivamor-parfums,unisex,France,0.0,0.0,0.0,0.06,0.06,0.0,0.54,0.0,0.28,0.06
cherry-lady,brocard,women,Russia,0.0,0.48,0.0,0.21,0.0,0.0,0.0,0.21,0.1,0.0
french-kiss,bybozo,women,France,0.08,0.39,0.0,0.0,0.0,0.08,0.08,0.28,0.08,0.0
erba-oud,sospiro-perfumes,unisex,Italy,0.06,0.18,0.0,0.0,0.0,0.24,0.0,0.06,0.24,0.24
donald-trump,trump,men,USA,0.1,0.0,0.0,0.21,0.45,0.24,0.0,0.0,0.0,0.0
school,rook-perfumes,unisex,UK,0.0,0.0,0.0,0.25,0.0,0.41,0.0,0.0,0.18,0.16
glamour-gold-glam,o-boticario,women,Brazil,0.0,0.34,0.0,0.0,0.0,0.34,0.2,0.06,0.06,0.0
clean-simply-soap,clean,women,USA,0.1,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0
visionair-midnight-blue,michael-malul-london,men,USA,0.07,0.33,0.0,0.14,0.4,0.0,0.07,0.0,0.0,0.0
malbec-sport,o-boticario,men,Brazil,0.0,0.2,0.0,0.0,0.28,0.26,0.0,0.0,0.0,0.26
cyber-sex,filippo-sorcinelli,unisex,Italy,0.07,0.0,0.07,0.0,0.3,0.07,0.0,0.0,0.49,0.0
classique-pride-edition,jean-paul-gaultier,women,France,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0
oud-imperium,navitus-parfums,unisex,UAE,0.0,0.24,0.0,0.0,0.18,0.38,0.06,0.0,0.15,0.0
vetiver,franck-boclet,unisex,France,0.14,0.0,0.14,0.0,0.14,0.14,0.45,0.0,0.0,0.0
cristina-la-veneno-veneno-pa-tu-piel,ricardo-ramos-perfumes-de-autor,unisex,Spain,0.0,0.0,0.0,0.17,0.09,0.0,0.16,0.0,0.32,0.25
